Date Local,Arithmetic Mean,AQI
2006-10-12,58.57142857142857,50.285714285714285
2006-10-13,51.285714285714285,45.0
2006-10-14,17.375,16.25
2006-10-15,20.625,19.25
2006-10-16,33.75,30.875
2006-10-17,42.875,38.5
2006-10-18,40.875,36.875
2006-10-19,50.125,42.375
2006-10-20,58.5,49.75
2006-10-21,48.875,44.0
2006-10-22,41.25,38.125
2006-10-23,73.25,58.5
2006-10-24,43.875,39.75
2006-10-25,26.625,24.75
2006-10-26,32.42857142857143,29.857142857142858
2006-10-27,57.42857142857143,48.857142857142854
2006-10-28,60.714285714285715,50.142857142857146
2006-10-29,46.375,42.25
2006-10-30,65.375,54.375
2006-10-31,67.375,55.625
2006-11-01,70.875,57.875
2006-11-02,87.5,66.875
2006-11-03,93.875,70.375
2006-11-04,61.75,53.5
2006-11-05,48.375,44.5
2006-11-06,87.5,66.5
2006-11-07,96.125,71.25
2006-11-08,92.125,69.0
2006-11-09,76.25,60.625
2006-11-10,71.0,57.5
2006-11-11,65.875,55.125
2006-11-12,42.5,39.375
2006-11-13,82.25,64.25
2006-11-14,77.375,61.375
2006-11-15,80.875,63.25
2006-11-16,95.0,70.875
2006-11-17,103.0,74.5
2006-11-18,79.625,63.0
2006-11-19,62.75,53.5
2006-11-20,95.75,71.25
2006-11-21,92.375,69.375
2006-11-22,101.25,73.875
2006-11-23,69.125,57.125
2006-11-24,72.75,59.125
2006-11-25,55.0,48.375
2006-11-26,44.25,40.875
2006-11-27,70.625,56.75
2006-11-28,44.75,39.125
2006-11-29,86.125,64.75
2006-11-30,48.0,42.625
2006-12-01,83.25,64.875
2006-12-02,79.25,62.5
2006-12-03,44.0,38.125
2006-12-04,68.875,55.75
2006-12-05,99.625,73.125
2006-12-06,113.25,79.875
2006-12-07,97.25,71.125
2006-12-08,57.625,48.875
2006-12-09,47.0,42.875
2006-12-10,68.375,56.25
2006-12-11,75.875,61.0
2006-12-12,87.375,67.125
2006-12-13,93.875,70.25
2006-12-14,110.25,78.5
2006-12-15,98.5,72.375
2006-12-16,84.0,64.875
2006-12-17,34.875,32.125
2006-12-18,38.5,35.5
2006-12-19,51.5,45.75
2006-12-20,46.285714285714285,41.142857142857146
2006-12-21,66.57142857142857,55.285714285714285
2006-12-22,54.125,47.625
2006-12-23,26.375,24.375
2006-12-24,36.125,33.375
2006-12-25,49.0,43.875
2006-12-26,44.5,40.5
2006-12-27,72.5,58.625
2006-12-28,28.5,26.25
2006-12-29,19.875,18.375
2006-12-30,27.0,25.25
2006-12-31,30.5,28.25
2007-01-01,49.5,43.625
2007-01-02,49.5,43.875
2007-01-03,51.75,44.875
2007-01-04,52.875,45.0
2007-01-05,37.375,33.25
2007-01-06,18.0,16.75
2007-01-07,28.75,26.75
2007-01-08,69.125,56.5
2007-01-09,63.875,52.625
2007-01-10,69.625,57.625
2007-01-11,63.375,52.5
2007-01-12,35.25,32.25
2007-01-13,19.0,17.625
2007-01-14,26.5,24.625
2007-01-15,53.375,47.375
2007-01-16,60.0,49.875
2007-01-17,54.125,47.375
2007-01-18,67.25,54.125
2007-01-19,27.25,25.25
2007-01-20,19.0,17.5
2007-01-21,14.142857142857142,13.142857142857142
2007-01-22,29.5,27.25
2007-01-23,51.125,44.0
2007-01-24,50.125,43.0
2007-01-25,41.125,37.375
2007-01-26,41.25,37.0
2007-01-27,30.375,28.125
2007-01-28,32.5,30.125
2007-01-29,61.875,52.375
2007-01-30,28.875,26.625
2007-01-31,16.75,15.375
2007-02-01,19.142857142857142,17.857142857142858
2007-02-02,40.0,37.0
2007-02-03,42.42857142857143,39.42857142857143
2007-02-04,36.42857142857143,33.57142857142857
2007-02-05,66.0,53.714285714285715
2007-02-06,60.125,51.125
2007-02-07,71.875,58.25
2007-02-08,64.625,54.125
2007-02-09,69.875,57.25
2007-02-10,43.125,38.625
2007-02-11,41.125,37.75
2007-02-12,33.857142857142854,31.285714285714285
2007-02-13,31.5,29.125
2007-02-14,24.375,22.5
2007-02-15,38.875,35.25
2007-02-16,49.375,44.0
2007-02-17,36.0,33.125
2007-02-18,27.25,25.25
2007-02-19,25.0,23.125
2007-02-20,20.75,19.375
2007-02-21,37.25,34.5
2007-02-22,41.625,38.25
2007-02-23,48.875,43.5
2007-02-24,24.5,22.625
2007-02-25,20.875,19.375
2007-02-26,41.375,38.125
2007-02-27,51.125,44.75
2007-02-28,55.875,48.25
2007-03-01,39.75,36.375
2007-03-02,46.5,41.5
2007-03-03,33.875,30.25
2007-03-04,24.375,22.125
2007-03-05,47.875,42.625
2007-03-06,67.25,55.875
2007-03-07,61.285714285714285,52.714285714285715
2007-03-08,50.0,44.375
2007-03-09,56.25,48.625
2007-03-10,48.75,44.625
2007-03-11,38.625,35.625
2007-03-12,52.875,46.0
2007-03-13,65.375,54.125
2007-03-14,59.75,51.5
2007-03-15,74.75,60.125
2007-03-16,79.25,62.125
2007-03-17,64.375,55.125
2007-03-18,40.0,37.0
2007-03-19,52.375,46.0
2007-03-20,55.714285714285715,48.57142857142857
2007-03-21,61.57142857142857,53.142857142857146
2007-03-22,20.428571428571427,18.857142857142858
2007-03-23,10.571428571428571,9.571428571428571
2007-03-24,13.0,12.0
2007-03-25,17.75,16.5
2007-03-26,30.125,28.0
2007-03-27,99.25,72.625
2007-03-28,44.75,40.5
2007-03-29,34.75,31.875
2007-03-30,23.25,21.5
2007-03-31,32.125,29.625
2007-04-01,32.625,30.125
2007-04-02,49.44444444444444,43.55555555555556
2007-04-03,50.55555555555556,44.888888888888886
2007-04-04,55.111111111111114,48.666666666666664
2007-04-05,66.33333333333333,55.666666666666664
2007-04-06,50.44444444444444,45.22222222222222
2007-04-07,33.44444444444444,31.0
2007-04-08,69.66666666666667,57.77777777777778
2007-04-09,42.111111111111114,37.77777777777778
2007-04-10,42.333333333333336,38.666666666666664
2007-04-11,71.66666666666667,58.666666666666664
2007-04-12,117.77777777777777,82.11111111111111
2007-04-13,34.55555555555556,32.111111111111114
2007-04-14,26.77777777777778,24.555555555555557
2007-04-15,44.0,40.0
2007-04-16,49.44444444444444,45.333333333333336
2007-04-17,32.22222222222222,29.77777777777778
2007-04-18,82.55555555555556,64.22222222222223
2007-04-19,48.44444444444444,43.77777777777778
2007-04-20,69.77777777777777,57.888888888888886
2007-04-21,23.11111111111111,21.333333333333332
2007-04-22,16.11111111111111,15.11111111111111
2007-04-23,24.11111111111111,22.11111111111111
2007-04-24,27.88888888888889,25.88888888888889
2007-04-25,37.333333333333336,34.44444444444444
2007-04-26,43.888888888888886,39.888888888888886
2007-04-27,48.0,43.0
2007-04-28,78.55555555555556,62.22222222222222
2007-04-29,21.0,19.555555555555557
2007-04-30,43.666666666666664,39.44444444444444
2007-05-01,56.22222222222222,48.0
2007-05-02,52.22222222222222,46.0
2007-05-03,44.44444444444444,41.111111111111114
2007-05-04,112.88888888888889,79.66666666666667
2007-05-05,66.33333333333333,56.111111111111114
2007-05-06,21.22222222222222,19.555555555555557
2007-05-07,44.111111111111114,40.0
2007-05-08,57.55555555555556,48.666666666666664
2007-05-09,43.22222222222222,39.666666666666664
2007-05-10,60.888888888888886,51.888888888888886
2007-05-11,61.55555555555556,52.333333333333336
2007-05-12,46.55555555555556,41.888888888888886
2007-05-13,38.44444444444444,35.44444444444444
2007-05-14,50.111111111111114,45.111111111111114
2007-05-15,55.666666666666664,48.77777777777778
2007-05-16,66.44444444444444,56.0
2007-05-17,38.55555555555556,35.22222222222222
2007-05-18,50.333333333333336,45.22222222222222
2007-05-19,38.111111111111114,35.333333333333336
2007-05-20,36.111111111111114,33.44444444444444
2007-05-21,73.11111111111111,59.77777777777778
2007-05-22,78.77777777777777,62.666666666666664
2007-05-23,45.333333333333336,41.333333333333336
2007-05-24,50.666666666666664,44.333333333333336
2007-05-25,50.44444444444444,44.22222222222222
2007-05-26,37.111111111111114,34.44444444444444
2007-05-27,28.444444444444443,26.22222222222222
2007-05-28,28.666666666666668,26.555555555555557
2007-05-29,52.0,46.0
2007-05-30,56.666666666666664,48.666666666666664
2007-05-31,50.333333333333336,44.77777777777778
2007-06-01,58.0,50.666666666666664
2007-06-02,42.77777777777778,39.333333333333336
2007-06-03,33.888888888888886,31.555555555555557
2007-06-04,60.22222222222222,51.666666666666664
2007-06-05,85.66666666666667,65.88888888888889
2007-06-06,124.55555555555556,85.44444444444444
2007-06-07,86.66666666666667,66.44444444444444
2007-06-08,80.77777777777777,63.77777777777778
2007-06-09,44.888888888888886,40.888888888888886
2007-06-10,31.444444444444443,29.11111111111111
2007-06-11,71.66666666666667,58.111111111111114
2007-06-12,40.666666666666664,37.666666666666664
2007-06-13,66.33333333333333,55.0
2007-06-14,58.0,50.333333333333336
2007-06-15,53.55555555555556,47.77777777777778
2007-06-16,42.22222222222222,38.77777777777778
2007-06-17,44.333333333333336,40.888888888888886
2007-06-18,56.333333333333336,49.44444444444444
2007-06-19,49.44444444444444,44.55555555555556
2007-06-20,50.333333333333336,44.666666666666664
2007-06-21,54.111111111111114,47.0
2007-06-22,67.0,55.666666666666664
2007-06-23,40.44444444444444,37.22222222222222
2007-06-24,30.88888888888889,28.666666666666668
2007-06-25,65.11111111111111,54.55555555555556
2007-06-26,68.77777777777777,56.666666666666664
2007-06-27,54.111111111111114,47.55555555555556
2007-06-28,54.111111111111114,47.111111111111114
2007-06-29,56.55555555555556,47.333333333333336
2007-06-30,44.22222222222222,40.666666666666664
2007-07-01,47.54545454545455,43.09090909090909
2007-07-02,54.0,47.81818181818182
2007-07-03,58.09090909090909,50.63636363636363
2007-07-04,52.54545454545455,47.36363636363637
2007-07-05,84.9090909090909,65.81818181818181
2007-07-06,89.36363636363636,67.54545454545455
2007-07-07,62.72727272727273,54.09090909090909
2007-07-08,76.0909090909091,61.27272727272727
2007-07-09,46.0,41.63636363636363
2007-07-10,46.27272727272727,42.63636363636363
2007-07-11,46.63636363636363,41.18181818181818
2007-07-12,56.0,49.0
2007-07-13,49.54545454545455,44.72727272727273
2007-07-14,33.45454545454545,31.0
2007-07-15,28.545454545454547,26.363636363636363
2007-07-16,81.25,64.58333333333333
2007-07-17,53.0,48.2
2007-07-18,61.583333333333336,52.666666666666664
2007-07-19,205.33333333333334,137.16666666666666
2007-07-20,61.09090909090909,52.54545454545455
2007-07-21,52.27272727272727,46.27272727272727
2007-07-22,18.545454545454547,17.363636363636363
2007-07-23,49.25,43.333333333333336
2007-07-24,31.636363636363637,29.454545454545453
2007-07-25,29.5,27.1
2007-07-26,27.3,25.4
2007-07-27,25.4,23.5
2007-07-28,39.81818181818182,36.81818181818182
2007-07-29,17.454545454545453,16.363636363636363
2007-07-30,43.09090909090909,39.36363636363637
2007-07-31,34.18181818181818,30.818181818181817
2007-08-01,26.545454545454547,24.636363636363637
2007-08-02,30.272727272727273,28.0
2007-08-03,28.454545454545453,26.363636363636363
2007-08-04,24.545454545454547,22.727272727272727
2007-08-05,25.363636363636363,23.454545454545453
2007-08-06,22.454545454545453,21.0
2007-08-07,32.81818181818182,29.636363636363637
2007-08-08,47.90909090909091,43.63636363636363
2007-08-09,45.54545454545455,41.63636363636363
2007-08-10,45.72727272727273,41.72727272727273
2007-08-11,50.18181818181818,46.27272727272727
2007-08-12,29.363636363636363,27.09090909090909
2007-08-13,104.27272727272727,75.36363636363636
2007-08-14,82.27272727272727,62.72727272727273
2007-08-15,35.81818181818182,33.18181818181818
2007-08-16,87.33333333333333,64.83333333333333
2007-08-17,42.63636363636363,38.54545454545455
2007-08-18,45.09090909090909,41.36363636363637
2007-08-19,47.63636363636363,44.18181818181818
2007-08-20,38.18181818181818,35.27272727272727
2007-08-21,44.72727272727273,41.18181818181818
2007-08-22,53.72727272727273,47.90909090909091
2007-08-23,93.0909090909091,68.45454545454545
2007-08-24,82.9090909090909,64.81818181818181
2007-08-25,29.09090909090909,26.818181818181817
2007-08-26,17.818181818181817,16.636363636363637
2007-08-27,34.81818181818182,32.36363636363637
2007-08-28,46.45454545454545,41.45454545454545
2007-08-29,87.9090909090909,67.18181818181819
2007-08-30,58.0,48.27272727272727
2007-08-31,30.636363636363637,28.454545454545453
2007-09-01,47.63636363636363,40.27272727272727
2007-09-02,22.181818181818183,20.545454545454547
2007-09-03,27.818181818181817,25.818181818181817
2007-09-04,66.18181818181819,54.81818181818182
2007-09-05,77.72727272727273,62.09090909090909
2007-09-06,39.45454545454545,36.54545454545455
2007-09-07,44.36363636363637,40.45454545454545
2007-09-08,37.36363636363637,34.54545454545455
2007-09-09,37.0,34.27272727272727
2007-09-10,44.45454545454545,40.63636363636363
2007-09-11,48.81818181818182,43.36363636363637
2007-09-12,38.45454545454545,35.54545454545455
2007-09-13,61.45454545454545,52.90909090909091
2007-09-14,61.72727272727273,53.27272727272727
2007-09-15,61.36363636363637,52.90909090909091
2007-09-16,36.81818181818182,34.0
2007-09-17,36.27272727272727,33.63636363636363
2007-09-18,44.18181818181818,40.09090909090909
2007-09-19,54.0,48.18181818181818
2007-09-20,56.81818181818182,50.45454545454545
2007-09-21,70.45454545454545,57.72727272727273
2007-09-22,36.63636363636363,33.81818181818182
2007-09-23,24.272727272727273,22.545454545454547
2007-09-24,40.90909090909091,37.45454545454545
2007-09-25,50.0,45.0
2007-09-26,57.72727272727273,50.27272727272727
2007-09-27,53.45454545454545,47.81818181818182
2007-09-28,61.18181818181818,52.09090909090909
2007-09-29,39.81818181818182,36.72727272727273
2007-09-30,37.63636363636363,34.90909090909091
2007-10-01,59.90909090909091,51.63636363636363
2007-10-02,45.09090909090909,41.63636363636363
2007-10-03,48.18181818181818,44.0
2007-10-04,40.63636363636363,37.18181818181818
2007-10-05,75.63636363636364,60.81818181818182
2007-10-06,43.2,40.0
2007-10-07,30.0,27.9
2007-10-08,58.2,51.0
2007-10-09,67.6,56.3
2007-10-10,68.8,57.2
2007-10-11,77.54545454545455,61.36363636363637
2007-10-12,69.63636363636364,56.81818181818182
2007-10-13,54.81818181818182,49.09090909090909
2007-10-14,41.45454545454545,37.72727272727273
2007-10-15,62.09090909090909,52.90909090909091
2007-10-16,75.9090909090909,60.81818181818182
2007-10-17,95.27272727272727,71.0
2007-10-18,83.63636363636364,64.9090909090909
2007-10-19,80.72727272727273,63.27272727272727
2007-10-20,61.90909090909091,52.54545454545455
2007-10-21,115.54545454545455,81.0909090909091
2007-10-22,40.63636363636363,36.36363636363637
2007-10-23,52.54545454545455,46.90909090909091
2007-10-24,73.45454545454545,57.18181818181818
2007-10-25,63.54545454545455,53.72727272727273
2007-10-26,80.72727272727273,63.36363636363637
2007-10-27,64.54545454545455,54.27272727272727
2007-10-28,59.72727272727273,51.45454545454545
2007-10-29,62.36363636363637,53.0
2007-10-30,70.36363636363636,57.09090909090909
2007-10-31,73.27272727272727,59.63636363636363
2007-11-01,76.36363636363636,61.0
2007-11-02,81.45454545454545,63.54545454545455
2007-11-03,71.18181818181819,58.0
2007-11-04,66.72727272727273,55.90909090909091
2007-11-05,93.9090909090909,70.27272727272727
2007-11-06,93.63636363636364,70.0
2007-11-07,103.9090909090909,75.18181818181819
2007-11-08,108.0,77.36363636363636
2007-11-09,83.9090909090909,65.0909090909091
2007-11-10,67.0,56.45454545454545
2007-11-11,47.27272727272727,42.81818181818182
2007-11-12,73.45454545454545,59.72727272727273
2007-11-13,82.5,64.5
2007-11-14,78.6,62.2
2007-11-15,121.27272727272727,83.81818181818181
2007-11-16,80.0,63.09090909090909
2007-11-17,75.36363636363636,61.0
2007-11-18,66.0909090909091,55.72727272727273
2007-11-19,85.0909090909091,65.63636363636364
2007-11-20,86.54545454545455,66.45454545454545
2007-11-21,80.9090909090909,63.81818181818182
2007-11-22,45.45454545454545,41.45454545454545
2007-11-23,50.0,44.54545454545455
2007-11-24,50.72727272727273,43.36363636363637
2007-11-25,35.09090909090909,32.54545454545455
2007-11-26,82.81818181818181,64.54545454545455
2007-11-27,76.9090909090909,61.36363636363637
2007-11-28,99.18181818181819,72.81818181818181
2007-11-29,77.36363636363636,61.90909090909091
2007-11-30,16.545454545454547,15.454545454545455
2007-12-01,13.909090909090908,12.909090909090908
2007-12-02,30.818181818181817,28.545454545454547
2007-12-03,48.18181818181818,42.45454545454545
2007-12-04,46.27272727272727,41.72727272727273
2007-12-05,52.90909090909091,46.27272727272727
2007-12-06,54.45454545454545,47.27272727272727
2007-12-07,55.72727272727273,47.81818181818182
2007-12-08,15.454545454545455,14.454545454545455
2007-12-09,16.09090909090909,15.0
2007-12-10,13.636363636363637,12.636363636363637
2007-12-11,13.545454545454545,12.545454545454545
2007-12-12,22.1,20.3
2007-12-13,33.1,30.1
2007-12-14,30.0,27.818181818181817
2007-12-15,26.09090909090909,24.181818181818183
2007-12-16,28.0,25.818181818181817
2007-12-17,47.45454545454545,42.45454545454545
2007-12-18,46.36363636363637,41.36363636363637
2007-12-19,49.81818181818182,44.09090909090909
2007-12-20,44.27272727272727,40.45454545454545
2007-12-21,37.27272727272727,33.45454545454545
2007-12-22,23.0,21.363636363636363
2007-12-23,32.18181818181818,29.818181818181817
2007-12-24,46.0,41.27272727272727
2007-12-25,45.72727272727273,40.54545454545455
2007-12-26,30.727272727272727,28.272727272727273
2007-12-27,27.0,24.90909090909091
2007-12-28,33.0,30.545454545454547
2007-12-29,35.36363636363637,32.81818181818182
2007-12-30,35.81818181818182,33.27272727272727
2007-12-31,54.72727272727273,48.63636363636363
2008-01-01,33.6,31.1
2008-01-02,41.4,37.5
2008-01-03,54.8,47.8
2008-01-04,52.9,46.5
2008-01-05,27.6,25.6
2008-01-06,11.0,10.0
2008-01-07,10.7,9.7
2008-01-08,22.7,21.0
2008-01-09,31.4,28.9
2008-01-10,38.3,35.1
2008-01-11,37.9,35.2
2008-01-12,29.3,27.1
2008-01-13,22.8,21.1
2008-01-14,21.7,20.0
2008-01-15,42.4,37.7
2008-01-16,40.5,36.6
2008-01-17,22.2,20.5
2008-01-18,46.8,41.8
2008-01-19,36.1,33.4
2008-01-20,28.6,26.4
2008-01-21,44.3,39.5
2008-01-22,44.8,40.4
2008-01-23,48.3,43.2
2008-01-24,22.6,21.0
2008-01-25,21.9,20.3
2008-01-26,23.3,21.7
2008-01-27,11.5,10.6
2008-01-28,8.8,7.8
2008-01-29,34.7,32.1
2008-01-30,24.2,22.5
2008-01-31,20.9,19.4
2008-02-01,38.1,35.3
2008-02-02,28.1,26.0
2008-02-03,30.7,28.3
2008-02-04,13.4,12.3
2008-02-05,19.5,18.0
2008-02-06,26.0,24.1
2008-02-07,35.7,33.0
2008-02-08,42.7,38.9
2008-02-09,34.2,31.8
2008-02-10,29.8,27.4
2008-02-11,43.9,39.0
2008-02-12,47.0,42.2
2008-02-13,38.9,35.1
2008-02-14,56.2,49.8
2008-02-15,18.7,17.3
2008-02-16,12.5,11.5
2008-02-17,19.4,18.0
2008-02-18,32.4,30.1
2008-02-19,41.4,38.1
2008-02-20,33.7,30.6
2008-02-21,23.6,22.0
2008-02-22,22.2,20.7
2008-02-23,18.1,16.8
2008-02-24,17.8,16.6
2008-02-25,32.3,30.0
2008-02-26,29.5,27.3
