Date,Daily Mean PM10 Concentration,Daily AQI Value
2006-09-14,49.6,43.8
2006-09-15,30.2,27.8
2006-09-16,35.6,33.0
2006-09-17,36.6,33.6
2006-09-18,54.4,47.8
2006-09-19,63.8,53.6
2006-09-20,62.4,53.0
2006-09-21,50.8,44.8
2006-09-22,67.8,55.6
2006-09-23,42.6,39.4
2006-09-24,36.8,34.0
2006-09-25,63.4,53.2
2006-09-26,61.8,52.8
2006-09-27,66.6,54.0
2006-09-28,76.6,61.2
2006-09-29,83.8,65.0
2006-09-30,63.8,54.0
2006-10-01,45.2,41.6
2006-10-02,65.6,55.0
2006-10-03,64.0,52.4
2006-10-04,69.4,56.4
2006-10-05,88.2,67.6
2006-10-06,40.5,37.2
2006-10-07,54.25,49.0
2006-10-08,39.33,36.7
2006-10-09,23.25,21.8
2006-10-10,34.5,32.0
2006-10-11,45.75,42.2
2006-10-12,59.25,51.0
2006-10-13,58.0,49.8
2006-10-14,18.8,17.6
2006-10-15,21.6,20.0
2006-10-16,37.0,33.6
2006-10-17,44.8,40.0
2006-10-18,42.2,38.0
2006-10-19,56.0,46.0
2006-10-20,61.6,52.0
2006-10-21,50.8,45.2
2006-10-22,40.0,37.0
2006-10-23,78.4,62.0
2006-10-24,46.8,42.0
2006-10-25,27.4,25.4
2006-10-26,34.75,32.0
2006-10-27,58.75,50.0
2006-10-28,53.0,46.2
2006-10-29,46.0,41.6
2006-10-30,62.6,53.2
2006-10-31,69.8,57.2
2006-11-01,71.0,58.2
2006-11-02,88.2,67.6
2006-11-03,98.0,72.4
2006-11-04,60.6,53.0
2006-11-05,46.6,43.0
2006-11-06,86.0,66.2
2006-11-07,95.0,70.8
2006-11-08,93.0,69.6
2006-11-09,78.0,61.8
2006-11-10,71.8,58.2
2006-11-11,70.0,57.6
2006-11-12,44.2,40.8
2006-11-13,81.6,64.0
2006-11-14,78.8,62.4
2006-11-15,86.8,66.4
2006-11-16,96.6,71.8
2006-11-17,108.0,77.0
2006-11-18,75.4,61.0
2006-11-19,57.8,51.0
2006-11-20,94.8,70.8
2006-11-21,92.4,69.2
2006-11-22,103.0,74.6
2006-11-23,69.2,57.2
2006-11-24,73.2,59.6
2006-11-25,53.4,47.8
2006-11-26,43.2,40.0
2006-11-27,75.8,59.8
2006-11-28,50.8,43.4
2006-11-29,99.0,72.0
2006-11-30,51.8,45.2
2006-12-01,82.4,64.4
2006-12-02,85.6,66.0
2006-12-03,52.0,44.0
2006-12-04,71.2,56.8
2006-12-05,105.8,76.2
2006-12-06,113.2,79.8
2006-12-07,96.8,71.8
2006-12-08,63.0,52.4
2006-12-09,43.8,40.6
2006-12-10,72.8,59.2
2006-12-11,75.2,60.8
2006-12-12,90.8,68.8
2006-12-13,94.0,70.2
2006-12-14,109.2,78.0
2006-12-15,102.2,74.4
2006-12-16,85.8,66.2
2006-12-17,35.4,32.6
2006-12-18,40.8,37.4
2006-12-19,53.0,46.4
2006-12-20,47.0,41.8
2006-12-21,69.75,57.0
2006-12-22,54.2,48.0
2006-12-23,26.2,24.2
2006-12-24,31.6,29.2
2006-12-25,46.2,41.4
2006-12-26,42.0,38.4
2006-12-27,72.8,59.0
2006-12-28,29.6,27.2
2006-12-29,20.6,19.0
2006-12-30,25.4,23.8
2006-12-31,28.4,26.2
2007-01-01,41.2,37.2
2007-01-02,47.6,42.8
2007-01-03,49.8,43.4
2007-01-04,51.0,43.6
2007-01-05,40.4,35.2
2007-01-06,17.6,16.4
2007-01-07,27.0,25.2
2007-01-08,69.8,57.6
2007-01-09,67.0,54.6
2007-01-10,74.4,60.4
2007-01-11,62.6,52.2
2007-01-12,37.6,34.2
2007-01-13,20.4,19.0
2007-01-14,26.0,24.2
2007-01-15,58.0,50.6
2007-01-16,61.4,53.0
2007-01-17,54.4,47.4
2007-01-18,69.0,55.8
2007-01-19,28.4,26.2
2007-01-20,17.6,16.2
2007-01-21,14.0,13.0
2007-01-22,29.4,27.2
2007-01-23,51.2,43.8
2007-01-24,48.0,41.6
2007-01-25,43.8,39.4
2007-01-26,42.6,37.6
2007-01-27,30.4,28.2
2007-01-28,32.0,29.8
2007-01-29,59.6,51.2
2007-01-30,30.8,28.4
2007-01-31,17.8,16.4
2007-02-01,19.5,18.2
2007-02-02,42.25,39.0
2007-02-03,43.0,40.0
2007-02-04,36.25,33.5
2007-02-05,68.5,55.5
2007-02-06,61.0,51.8
2007-02-07,74.4,59.8
2007-02-08,67.0,56.0
2007-02-09,73.4,59.0
2007-02-10,44.8,39.4
2007-02-11,42.0,38.2
2007-02-12,35.4,32.6
2007-02-13,34.4,31.8
2007-02-14,26.4,24.4
2007-02-15,40.6,36.4
2007-02-16,49.2,43.8
2007-02-17,36.0,33.2
2007-02-18,26.8,24.8
2007-02-19,26.2,24.2
2007-02-20,21.0,19.6
2007-02-21,37.6,34.8
2007-02-22,40.4,36.8
2007-02-23,52.2,45.6
2007-02-24,23.0,21.4
2007-02-25,19.8,18.4
2007-02-26,43.4,39.8
2007-02-27,55.0,47.2
2007-02-28,61.2,52.2
2007-03-01,40.8,37.2
2007-03-02,48.6,43.6
2007-03-03,39.8,35.2
2007-03-04,28.6,25.8
2007-03-05,53.2,46.6
2007-03-06,71.0,58.2
2007-03-07,63.0,53.8
2007-03-08,57.4,50.2
2007-03-09,60.0,51.2
2007-03-10,49.8,45.6
2007-03-11,40.6,37.4
2007-03-12,54.2,47.0
2007-03-13,67.8,55.6
2007-03-14,62.6,53.4
2007-03-15,78.8,62.4
2007-03-16,86.0,66.0
2007-03-17,62.6,54.4
2007-03-18,40.6,37.4
2007-03-19,56.2,48.6
2007-03-20,60.8,52.0
2007-03-21,67.0,56.6
2007-03-22,25.0,23.0
2007-03-23,11.25,10.2
2007-03-24,13.8,12.8
2007-03-25,18.2,16.8
2007-03-26,30.8,28.6
2007-03-27,114.0,80.4
2007-03-28,46.8,42.0
2007-03-29,38.4,35.2
2007-03-30,25.4,23.4
2007-03-31,32.2,29.8
2007-04-01,32.8,30.4
2007-04-02,53.0,45.8
2007-04-03,53.0,46.8
2007-04-04,58.17,50.8
2007-04-05,70.83,58.2
2007-04-06,55.0,48.5
2007-04-07,36.17,33.5
2007-04-08,74.67,60.3
2007-04-09,46.17,40.8
2007-04-10,46.5,42.2
2007-04-11,79.5,63.0
2007-04-12,132.67,89.5
2007-04-13,37.17,34.5
2007-04-14,28.33,26.0
2007-04-15,47.33,42.7
2007-04-16,50.33,46.0
2007-04-17,34.67,32.0
2007-04-18,92.33,69.5
2007-04-19,52.5,47.0
2007-04-20,73.5,59.8
2007-04-21,23.67,21.8
2007-04-22,15.67,14.7
2007-04-23,25.67,23.5
2007-04-24,30.17,28.0
2007-04-25,39.67,36.5
2007-04-26,44.83,40.5
2007-04-27,49.17,44.3
2007-04-28,83.67,64.7
2007-04-29,21.67,20.2
2007-04-30,43.33,39.3
2007-05-01,61.67,51.7
2007-05-02,51.83,46.0
2007-05-03,45.83,42.3
2007-05-04,118.83,82.7
2007-05-05,70.33,58.0
2007-05-06,21.83,20.2
2007-05-07,45.0,41.5
2007-05-08,59.33,50.2
2007-05-09,46.83,42.8
2007-05-10,63.83,54.2
2007-05-11,66.67,55.7
2007-05-12,48.67,43.2
2007-05-13,38.5,35.5
2007-05-14,53.33,47.8
2007-05-15,60.0,51.7
2007-05-16,70.33,58.2
2007-05-17,43.0,39.2
2007-05-18,55.0,48.7
2007-05-19,38.17,35.3
2007-05-20,37.17,34.3
2007-05-21,76.0,61.3
2007-05-22,81.0,63.8
2007-05-23,48.33,43.8
2007-05-24,55.33,47.3
2007-05-25,54.5,46.8
2007-05-26,36.5,34.0
2007-05-27,29.0,26.8
2007-05-28,29.5,27.3
2007-05-29,54.33,47.5
2007-05-30,61.67,52.0
2007-05-31,52.5,46.5
2007-06-01,62.83,54.0
2007-06-02,45.0,41.2
2007-06-03,35.5,33.0
2007-06-04,62.83,53.7
2007-06-05,95.33,71.0
2007-06-06,133.33,89.8
2007-06-07,88.67,67.5
2007-06-08,83.67,65.3
2007-06-09,48.0,43.3
2007-06-10,32.5,30.2
2007-06-11,77.67,61.5
2007-06-12,42.67,39.5
2007-06-13,73.0,59.3
2007-06-14,61.5,53.0
2007-06-15,56.33,49.7
2007-06-16,44.67,40.8
2007-06-17,45.33,41.8
2007-06-18,60.5,52.5
2007-06-19,53.67,47.8
2007-06-20,52.67,45.8
2007-06-21,59.67,50.5
2007-06-22,68.33,57.0
2007-06-23,42.33,39.0
2007-06-24,31.67,29.3
2007-06-25,67.67,56.3
2007-06-26,70.0,58.0
2007-06-27,59.5,51.3
2007-06-28,60.83,51.7
2007-06-29,65.17,52.8
2007-06-30,47.0,43.0
2007-07-01,50.5,45.4
2007-07-02,57.5,50.4
2007-07-03,61.62,53.1
2007-07-04,55.88,49.9
2007-07-05,86.62,66.8
2007-07-06,95.38,70.8
2007-07-07,65.62,55.8
2007-07-08,78.0,62.2
2007-07-09,48.0,43.1
2007-07-10,49.38,45.4
2007-07-11,49.88,43.5
2007-07-12,56.0,49.4
2007-07-13,52.88,47.4
2007-07-14,35.25,32.6
2007-07-15,30.38,28.1
2007-07-16,87.12,66.9
2007-07-17,54.0,49.1
2007-07-18,71.38,59.1
2007-07-19,189.88,118.2
2007-07-20,62.12,52.9
2007-07-21,56.12,49.1
2007-07-22,19.25,18.0
2007-07-23,58.25,49.5
2007-07-24,33.0,30.9
2007-07-25,30.62,28.1
2007-07-26,28.62,26.6
2007-07-27,26.75,24.8
2007-07-28,38.12,35.5
2007-07-29,16.5,15.5
2007-07-30,45.25,41.2
2007-07-31,37.5,33.6
2007-08-01,28.0,26.0
2007-08-02,30.5,28.2
2007-08-03,29.38,27.1
2007-08-04,25.12,23.2
2007-08-05,26.12,24.2
2007-08-06,23.0,21.5
2007-08-07,35.75,32.0
2007-08-08,49.75,45.2
2007-08-09,47.5,43.4
2007-08-10,48.88,44.5
2007-08-11,51.38,47.4
2007-08-12,30.75,28.4
2007-08-13,112.12,79.2
2007-08-14,80.75,61.2
2007-08-15,36.88,34.1
2007-08-16,106.75,75.2
2007-08-17,46.25,41.5
2007-08-18,47.25,43.2
2007-08-19,48.75,45.1
2007-08-20,39.5,36.5
2007-08-21,48.25,44.2
2007-08-22,54.62,49.0
2007-08-23,96.75,69.8
2007-08-24,85.88,66.2
2007-08-25,30.88,28.5
2007-08-26,18.62,17.4
2007-08-27,35.0,32.6
2007-08-28,48.0,42.9
2007-08-29,90.38,68.4
2007-08-30,64.38,52.4
2007-08-31,31.25,29.0
2007-09-01,51.5,42.5
2007-09-02,22.5,20.9
2007-09-03,28.38,26.4
2007-09-04,71.0,57.9
2007-09-05,78.62,62.5
2007-09-06,39.25,36.4
2007-09-07,45.5,41.2
2007-09-08,38.88,36.0
2007-09-09,37.12,34.4
2007-09-10,45.0,41.4
2007-09-11,50.88,44.5
2007-09-12,41.0,37.9
2007-09-13,65.88,55.9
2007-09-14,64.62,55.2
2007-09-15,64.0,54.1
2007-09-16,38.25,35.4
2007-09-17,37.75,35.0
2007-09-18,45.38,41.4
2007-09-19,55.75,50.1
2007-09-20,57.75,51.8
2007-09-21,75.75,60.8
2007-09-22,37.62,34.8
2007-09-23,25.12,23.4
2007-09-24,42.62,38.9
2007-09-25,51.25,46.2
2007-09-26,57.75,50.5
2007-09-27,54.88,49.2
2007-09-28,63.88,54.2
2007-09-29,40.88,37.6
2007-09-30,38.0,35.2
2007-10-01,62.25,53.4
2007-10-02,46.0,42.5
2007-10-03,50.0,45.6
2007-10-04,42.62,38.9
2007-10-05,77.75,61.9
2007-10-06,43.86,40.7
2007-10-07,32.29,30.0
2007-10-08,60.29,52.4
2007-10-09,69.57,58.0
2007-10-10,67.14,56.7
2007-10-11,80.12,63.1
2007-10-12,70.88,58.0
2007-10-13,57.25,50.8
2007-10-14,43.0,38.9
2007-10-15,63.62,54.2
2007-10-16,79.5,62.9
2007-10-17,98.62,72.6
2007-10-18,83.62,64.9
2007-10-19,82.25,64.4
2007-10-20,62.88,53.2
2007-10-21,127.75,87.1
2007-10-22,44.25,39.1
2007-10-23,55.62,49.1
2007-10-24,84.0,63.6
2007-10-25,61.12,52.6
2007-10-26,81.38,64.0
2007-10-27,66.38,55.2
2007-10-28,60.88,52.1
2007-10-29,66.0,55.4
2007-10-30,70.5,57.8
2007-10-31,73.38,60.0
2007-11-01,75.12,60.5
2007-11-02,81.12,63.2
2007-11-03,70.12,57.2
2007-11-04,66.38,55.5
2007-11-05,93.38,70.0
2007-11-06,94.12,70.2
2007-11-07,102.25,74.4
2007-11-08,107.0,76.9
2007-11-09,85.25,65.9
2007-11-10,64.75,55.2
2007-11-11,48.38,43.5
2007-11-12,73.12,59.8
2007-11-13,80.86,63.7
2007-11-14,79.43,62.9
2007-11-15,126.12,86.2
2007-11-16,82.88,64.5
2007-11-17,76.25,61.4
2007-11-18,68.25,57.0
2007-11-19,84.12,65.2
2007-11-20,85.38,65.9
2007-11-21,79.12,62.9
2007-11-22,46.62,42.4
2007-11-23,51.25,45.1
2007-11-24,58.12,48.8
2007-11-25,35.88,33.2
2007-11-26,81.88,64.1
2007-11-27,76.62,61.5
2007-11-28,99.5,72.9
2007-11-29,78.38,62.4
2007-11-30,16.62,15.5
2007-12-01,13.62,12.6
2007-12-02,30.12,27.9
2007-12-03,44.75,40.0
2007-12-04,42.25,39.2
2007-12-05,49.12,44.1
2007-12-06,51.5,45.4
2007-12-07,59.25,50.0
2007-12-08,15.25,14.2
2007-12-09,15.25,14.1
2007-12-10,12.38,11.5
2007-12-11,14.12,13.1
2007-12-12,20.71,19.0
2007-12-13,30.14,27.9
2007-12-14,29.38,27.2
2007-12-15,24.88,23.0
2007-12-16,27.12,25.0
2007-12-17,43.5,39.9
2007-12-18,44.25,39.8
2007-12-19,46.88,42.1
2007-12-20,45.0,41.0
2007-12-21,39.25,34.8
2007-12-22,23.0,21.4
2007-12-23,31.25,29.0
2007-12-24,43.88,39.2
2007-12-25,44.25,39.1
2007-12-26,30.75,28.2
2007-12-27,27.38,25.2
2007-12-28,33.25,30.8
2007-12-29,35.5,33.0
2007-12-30,35.0,32.5
2007-12-31,54.62,48.5
2008-01-01,34.17,31.7
2008-01-02,46.5,41.8
2008-01-03,56.33,48.7
2008-01-04,53.83,46.7
2008-01-05,26.67,24.8
2008-01-06,10.33,9.3
2008-01-07,10.0,9.0
2008-01-08,21.0,19.5
2008-01-09,29.5,27.2
2008-01-10,36.33,33.3
2008-01-11,35.33,32.8
2008-01-12,24.83,23.0
2008-01-13,20.5,19.0
2008-01-14,24.33,22.5
2008-01-15,39.83,36.3
2008-01-16,38.5,35.3
2008-01-17,22.83,21.0
2008-01-18,43.17,39.2
2008-01-19,32.17,29.7
2008-01-20,26.33,24.3
2008-01-21,42.0,37.3
2008-01-22,41.33,37.8
2008-01-23,46.67,41.8
2008-01-24,23.0,21.5
2008-01-25,20.83,19.3
2008-01-26,21.67,20.2
2008-01-27,10.5,9.7
2008-01-28,8.5,7.5
2008-01-29,33.17,30.7
2008-01-30,24.33,22.7
2008-01-31,19.17,17.8
2008-02-01,35.5,32.8
2008-02-02,24.67,22.8
2008-02-03,31.67,29.2
2008-02-04,13.67,12.5
2008-02-05,17.33,16.0
2008-02-06,25.0,23.2
2008-02-07,34.5,32.0
2008-02-08,41.17,37.5
2008-02-09,30.17,28.0
2008-02-10,27.0,24.8
2008-02-11,40.5,36.7
2008-02-12,44.83,40.3
2008-02-13,40.67,36.3
2008-02-14,57.5,50.7
2008-02-15,18.5,17.0
2008-02-16,12.5,11.5
2008-02-17,18.5,17.2
2008-02-18,32.5,30.2
2008-02-19,42.0,38.7
2008-02-20,34.67,31.2
2008-02-21,24.5,22.8
2008-02-22,24.0,22.3
2008-02-23,17.17,15.8
2008-02-24,16.0,14.8
2008-02-25,31.0,28.8
2008-02-26,29.83,27.7
2008-02-27,36.17,32.8
2008-02-28,48.67,43.2
2008-02-29,44.33,40.0
2008-03-01,34.17,31.7
2008-03-02,52.5,41.3
2008-03-03,30.83,28.0
2008-03-04,43.0,38.3
2008-03-05,48.5,42.7
2008-03-06,22.0,20.3
2008-03-07,39.33,35.7
2008-03-08,34.0,31.5
2008-03-09,25.5,23.7
2008-03-10,44.67,39.8
2008-03-11,43.17,39.5
2008-03-12,43.83,39.3
2008-03-13,48.0,44.2
2008-03-14,94.5,69.8
2008-03-15,41.83,38.8
2008-03-16,24.5,22.7
2008-03-17,24.33,22.5
2008-03-18,40.67,37.7
2008-03-19,51.0,44.2
2008-03-20,47.33,42.3
2008-03-21,47.67,42.7
2008-03-22,35.33,32.5
2008-03-23,35.67,33.2
2008-03-24,56.17,49.7
2008-03-25,57.67,51.0
2008-03-26,52.5,47.5
2008-03-27,50.5,45.3
2008-03-28,49.33,44.7
2008-03-29,36.67,33.8
2008-03-30,51.67,44.2
2008-03-31,42.5,39.3
2008-04-01,50.67,45.3
2008-04-02,46.5,41.3
2008-04-03,41.33,38.2
2008-04-04,45.0,40.5
2008-04-05,39.33,36.0
2008-04-06,31.5,29.3
2008-04-07,43.5,39.7
2008-04-08,57.5,50.8
2008-04-09,68.83,57.3
2008-04-10,36.67,33.3
2008-04-11,40.0,37.0
2008-04-12,34.0,31.5
2008-04-13,35.17,32.8
2008-04-14,50.33,45.7
2008-04-15,55.67,48.0
2008-04-16,87.5,67.0
2008-04-17,35.67,33.0
2008-04-18,57.67,50.2
2008-04-19,52.67,46.3
2008-04-20,31.33,29.2
2008-04-21,51.33,46.7
2008-04-22,55.67,49.8
2008-04-23,57.17,50.2
2008-04-24,54.17,49.0
2008-04-25,59.83,52.5
2008-04-26,47.5,43.8
2008-04-27,53.17,47.2
2008-04-28,56.0,49.5
2008-04-29,61.83,53.2
2008-04-30,77.83,61.7
2008-05-01,53.67,48.2
2008-05-02,39.5,36.3
2008-05-03,36.5,33.7
2008-05-04,31.33,29.0
2008-05-05,53.83,47.0
2008-05-06,34.5,32.2
2008-05-07,37.33,34.5
2008-05-08,48.17,43.5
2008-05-09,61.8,53.8
2008-05-10,56.4,51.2
2008-05-11,54.8,49.0
2008-05-12,85.25,66.0
2008-05-13,62.0,52.8
2008-05-14,40.83,37.7
2008-05-15,48.33,43.2
2008-05-16,28.33,26.0
2008-05-17,24.0,22.0
2008-05-18,30.83,28.7
2008-05-19,54.67,46.7
2008-05-20,50.67,44.8
2008-05-21,126.67,86.5
2008-05-22,80.33,63.0
2008-05-23,19.4,17.8
2008-05-24,19.6,18.0
2008-05-25,14.8,13.8
2008-05-26,16.5,15.5
2008-05-27,29.83,27.3
2008-05-28,36.0,33.2
2008-05-29,36.17,32.5
2008-05-30,43.5,40.3
2008-05-31,37.0,34.2
2008-06-01,29.83,27.7
2008-06-02,45.0,40.7
2008-06-03,52.5,45.5
2008-06-04,142.17,94.3
2008-06-05,110.5,78.3
2008-06-06,47.5,42.8
2008-06-07,55.67,49.8
2008-06-08,44.0,40.7
2008-06-09,52.5,48.2
2008-06-10,57.0,50.2
2008-06-11,49.33,43.7
2008-06-12,49.17,44.8
2008-06-13,57.17,51.0
2008-06-14,52.83,47.2
2008-06-15,41.67,38.7
2008-06-16,52.83,47.8
2008-06-17,49.17,45.0
2008-06-18,49.5,44.8
2008-06-19,58.0,50.7
2008-06-20,57.0,50.0
2008-06-21,51.17,46.5
2008-06-22,65.67,56.0
2008-06-23,58.5,50.7
2008-06-24,54.33,47.7
2008-06-25,71.17,58.8
2008-06-26,54.33,48.7
2008-06-27,37.33,34.7
2008-06-28,32.83,30.5
2008-06-29,41.33,37.5
2008-06-30,49.5,43.2
2008-07-01,86.83,65.7
2008-07-02,49.0,45.0
2008-07-03,65.17,56.0
2008-07-04,79.33,57.7
2008-07-05,23.33,21.5
2008-07-06,28.33,26.3
2008-07-07,36.5,33.7
2008-07-08,57.5,50.0
2008-07-09,32.17,29.8
2008-07-10,24.5,22.7
2008-07-11,19.83,18.5
2008-07-12,17.33,16.2
2008-07-13,26.33,24.5
2008-07-14,18.0,16.7
2008-07-15,27.83,25.7
2008-07-16,31.83,29.7
2008-07-17,35.33,32.7
