feature_index,mean_importance,std_importance,coefficient_of_variation,min_importance,max_importance,feature_name
32,0.5016859,0.011684441,0.023290351,0.4752076,0.5338069,"4"" Soil Temp - Max (-4)"
117,0.501678,0.0135597605,0.027028812,0.47990572,0.54272944,RH - Mean (-5)
119,0.5016587,0.013179139,0.026271127,0.46733275,0.52731,RH - Min (0)
28,0.5016551,0.01172799,0.023378592,0.47262016,0.53111005,"4"" Soil Temp - Max (0)"
123,0.5016482,0.013690134,0.027290309,0.46900278,0.5298277,RH - Min (-4)
178,0.50162023,0.013074412,0.026064364,0.47355917,0.538753,Wind Vector Magnitude (-3)
75,0.50150025,0.013822909,0.027563116,0.46636558,0.5385671,Air Temp - Min (-5)
9,0.5014882,0.010881086,0.02169759,0.47398743,0.5401051,"20"" Soil Temp - Max (-2)"
57,0.5014612,0.013460577,0.02684271,0.46310315,0.53150177,Air Temp - Max (-1)
125,0.5013901,0.01363606,0.027196508,0.47260574,0.5391052,RH - Min (-6)
55,0.5013724,0.010996491,0.02193278,0.47317386,0.52706146,Actual Vapor Pressure - Daily Mean (-6)
29,0.5013358,0.010653582,0.021250391,0.4774759,0.5322552,"4"" Soil Temp - Max (-1)"
52,0.5012982,0.011818156,0.023575101,0.47514862,0.5304842,Actual Vapor Pressure - Daily Mean (-3)
122,0.5012916,0.013492294,0.026915062,0.46545723,0.5320948,RH - Min (-3)
104,0.501285,0.013423949,0.026779074,0.475682,0.5413309,Precipitation - Total (-6)
159,0.50125444,0.01273572,0.025407694,0.47167903,0.53610355,Wind Direction Std Dev (-5)
173,0.501205,0.01232364,0.024588022,0.47423553,0.5324377,Wind Vector Direction (-5)
181,0.5011745,0.013767061,0.027469596,0.46571487,0.52561873,Wind Vector Magnitude (-6)
97,0.5011637,0.011591763,0.023129694,0.4699456,0.52907336,Max Wind Speed (-6)
163,0.5011544,0.014179904,0.028294481,0.46516752,0.53534955,Wind Speed - Mean (-2)
50,0.50114715,0.010873564,0.021697346,0.47516927,0.53149045,Actual Vapor Pressure - Daily Mean (-1)
34,0.5011409,0.012219193,0.024382751,0.46688527,0.5288222,"4"" Soil Temp - Max (-6)"
114,0.50112814,0.0122498125,0.024444472,0.47233617,0.5409637,RH - Mean (-2)
36,0.5011087,0.01147695,0.022903115,0.47685173,0.5290241,"4"" Soil Temp - Mean (-1)"
41,0.5010531,0.013787553,0.02751715,0.46611762,0.54132,"4"" Soil Temp - Mean (-6)"
94,0.50104785,0.012323903,0.024596259,0.46043545,0.53276604,Max Wind Speed (-3)
177,0.50100946,0.013411646,0.026769247,0.47043243,0.53136814,Wind Vector Magnitude (-2)
92,0.5009969,0.012479978,0.02491029,0.46551937,0.54046136,Max Wind Speed (-1)
98,0.5009644,0.012527378,0.025006523,0.47586104,0.53027445,Precipitation - Total (0)
165,0.5009264,0.011308788,0.02257575,0.47334003,0.5397945,Wind Speed - Mean (-4)
65,0.5009131,0.0129098855,0.025772706,0.47697267,0.5275129,Air Temp - Mean (-2)
93,0.50091064,0.0120367715,0.024029778,0.4686605,0.53113174,Max Wind Speed (-2)
167,0.50088394,0.014455574,0.028860126,0.465903,0.53721124,Wind Speed - Mean (-6)
176,0.5008792,0.013043734,0.026041675,0.47585878,0.5314284,Wind Vector Magnitude (-1)
112,0.50087625,0.011313541,0.022587497,0.4765992,0.52951115,RH - Mean (0)
39,0.50086665,0.011997168,0.023952818,0.4670815,0.5305426,"4"" Soil Temp - Mean (-4)"
47,0.50085485,0.01367412,0.027301563,0.47318026,0.530274,"4"" Soil Temp - Min (-5)"
24,0.50084406,0.012229842,0.024418462,0.4592329,0.52687985,"20"" Soil Temp - Min (-3)"
108,0.50081354,0.012021846,0.024004634,0.46103072,0.5265403,RH - Max (-3)
183,0.5008108,0.01206886,0.024098642,0.47384077,0.5434124,Daily AQI Value (-1)
91,0.50075465,0.012735204,0.025432022,0.4676574,0.5310095,Max Wind Speed (0)
35,0.5007483,0.013039581,0.02604019,0.47429043,0.534442,"4"" Soil Temp - Mean (0)"
170,0.5007393,0.011652395,0.023270383,0.47524744,0.52873147,Wind Vector Direction (-2)
174,0.50070006,0.013081343,0.026126107,0.4675547,0.53516483,Wind Vector Direction (-6)
18,0.5006998,0.013541519,0.027045185,0.47147703,0.53523165,"20"" Soil Temp - Mean (-4)"
188,0.5006843,0.013226037,0.02641592,0.47204617,0.5339783,Daily AQI Value (-6)
133,0.5006781,0.0115030855,0.02297501,0.4763837,0.52649075,Reference ET Penman-Monteith (0)
69,0.5006699,0.013389055,0.02674228,0.47221896,0.540198,Air Temp - Mean (-6)
152,0.50066805,0.012383645,0.024734244,0.47432643,0.53345674,VPD - Mean (-5)
101,0.50065005,0.012750741,0.02546837,0.47228143,0.5284797,Precipitation - Total (-3)
161,0.50064856,0.01247206,0.024911806,0.47644538,0.5275591,Wind Speed - Mean (0)
43,0.50063086,0.01305804,0.026083171,0.46981347,0.5338298,"4"" Soil Temp - Min (-1)"
175,0.5006249,0.013321947,0.026610637,0.46572587,0.541507,Wind Vector Magnitude (0)
109,0.50061613,0.012474765,0.024918824,0.46840093,0.53526276,RH - Max (-4)
139,0.5005819,0.011504289,0.02298183,0.4779644,0.5382167,Reference ET Penman-Monteith (-6)
85,0.50054026,0.011664672,0.023304163,0.4715607,0.5271752,Heat Units (-1)
63,0.500534,0.012208122,0.024390195,0.47369474,0.5409872,Air Temp - Mean (0)
154,0.50052476,0.01300008,0.0259729,0.46659723,0.54555327,Wind Direction Std Dev (0)
124,0.5005236,0.012511152,0.024996126,0.47173622,0.5338692,RH - Min (-5)
95,0.5004319,0.013392889,0.02676266,0.46096864,0.52956647,Max Wind Speed (-4)
144,0.500396,0.013115366,0.026209973,0.46732983,0.5284664,Solar Rad. - Total (-4)
79,0.50038934,0.0115712965,0.023124587,0.47072113,0.5231938,Dewpoint - Daily Mean (-2)
54,0.5003806,0.013950345,0.02787947,0.46462226,0.54002905,Actual Vapor Pressure - Daily Mean (-5)
140,0.50033915,0.012497564,0.024978185,0.47510248,0.5306498,Solar Rad. - Total (0)
37,0.50033784,0.01264837,0.02527966,0.46901372,0.52891356,"4"" Soil Temp - Mean (-2)"
164,0.5003318,0.012658542,0.025300294,0.4710548,0.5310363,Wind Speed - Mean (-3)
16,0.5003175,0.011747343,0.023479775,0.47547835,0.5331481,"20"" Soil Temp - Mean (-2)"
5,0.5002908,0.01143909,0.02286488,0.474905,0.52781296,MARICOPA (-5)
44,0.5002903,0.012540423,0.025066294,0.47170833,0.5306559,"4"" Soil Temp - Min (-2)"
61,0.5002808,0.013895782,0.027775964,0.47643933,0.53937006,Air Temp - Max (-5)
107,0.5002784,0.013401767,0.026788618,0.47034827,0.53627765,RH - Max (-2)
0,0.5002681,0.014232718,0.028450182,0.46919993,0.5275307,MARICOPA (0)
184,0.5002584,0.012227304,0.024441978,0.4621691,0.52836674,Daily AQI Value (-2)
192,0.5002537,0.012418386,0.024824176,0.47167203,0.5365187,Daily Mean PM10 Concentration (-3)
26,0.50021803,0.011827569,0.023644827,0.4720381,0.5304665,"20"" Soil Temp - Min (-5)"
73,0.50021195,0.013208671,0.026406147,0.45847064,0.53010637,Air Temp - Min (-3)
194,0.50019807,0.0120138675,0.02401822,0.4644855,0.5254557,Daily Mean PM10 Concentration (-5)
99,0.5001814,0.012316121,0.02462331,0.4745085,0.5276564,Precipitation - Total (-1)
89,0.5001672,0.01097558,0.021943823,0.4657865,0.52645135,Heat Units (-5)
31,0.50011075,0.010897924,0.021791022,0.47464985,0.52776843,"4"" Soil Temp - Max (-3)"
12,0.50010633,0.011482083,0.022959284,0.47302803,0.5265262,"20"" Soil Temp - Max (-5)"
138,0.50010014,0.012473932,0.024942867,0.45895642,0.5312155,Reference ET Penman-Monteith (-5)
110,0.50009364,0.011568741,0.02313315,0.47322372,0.53194857,RH - Max (-5)
62,0.5000764,0.014070891,0.02813748,0.46597627,0.53195155,Air Temp - Max (-6)
6,0.500072,0.013084505,0.026165241,0.46590394,0.53926384,MARICOPA (-6)
130,0.5000481,0.011500809,0.022999406,0.4735283,0.5271473,Reference ET (-4)
172,0.50004506,0.011326413,0.022650784,0.47518617,0.52725226,Wind Vector Direction (-4)
131,0.500037,0.011753039,0.02350434,0.46769518,0.5289334,Reference ET (-5)
88,0.50002116,0.012658598,0.025316125,0.47041458,0.5270406,Heat Units (-4)
96,0.5000087,0.013309466,0.026618468,0.46902123,0.53893214,Max Wind Speed (-5)
193,0.5000076,0.012006554,0.02401274,0.47345608,0.52831477,Daily Mean PM10 Concentration (-4)
118,0.49995846,0.013335019,0.026672255,0.47163472,0.5348968,RH - Mean (-6)
11,0.49994478,0.0130771855,0.02615726,0.46225348,0.52591157,"20"" Soil Temp - Max (-4)"
2,0.49990165,0.012567253,0.025139451,0.47334096,0.53054756,MARICOPA (-2)
182,0.49987844,0.01277655,0.025559314,0.4701727,0.5327632,Daily AQI Value (0)
27,0.49985272,0.012574767,0.025156943,0.4669164,0.53429204,"20"" Soil Temp - Min (-6)"
121,0.49983728,0.013684169,0.027377248,0.47190368,0.5297332,RH - Min (-2)
71,0.4998244,0.012651177,0.025311243,0.45872176,0.52658963,Air Temp - Min (-1)
30,0.4998218,0.01305938,0.026128072,0.4683769,0.53732634,"4"" Soil Temp - Max (-2)"
158,0.4998175,0.0108428085,0.021693535,0.47542447,0.53490573,Wind Direction Std Dev (-4)
48,0.49978665,0.013972873,0.027957676,0.46495637,0.5392976,"4"" Soil Temp - Min (-6)"
81,0.499783,0.012861303,0.025733775,0.45990837,0.53153723,Dewpoint - Daily Mean (-4)
151,0.49977276,0.0128128845,0.025637422,0.47126263,0.53273576,VPD - Mean (-4)
87,0.4997514,0.0134326,0.026878564,0.4741453,0.5386661,Heat Units (-3)
128,0.49971908,0.013242476,0.02649984,0.4704247,0.53480476,Reference ET (-2)
189,0.4997098,0.013099347,0.026213909,0.4564511,0.52626324,Daily Mean PM10 Concentration (0)
153,0.49969044,0.012498797,0.02501308,0.47361803,0.5345221,VPD - Mean (-6)
22,0.49966657,0.012674126,0.025365166,0.47243544,0.5348609,"20"" Soil Temp - Min (-1)"
115,0.49965927,0.013341232,0.02670066,0.4682873,0.54557997,RH - Mean (-3)
141,0.49963734,0.013597028,0.027213795,0.44803903,0.5364225,Solar Rad. - Total (-1)
17,0.49962947,0.0119802095,0.023978189,0.47055793,0.5275616,"20"" Soil Temp - Mean (-3)"
90,0.49960685,0.012326082,0.024671564,0.4713861,0.5262366,Heat Units (-6)
53,0.49960533,0.013841172,0.027704211,0.46875232,0.53427625,Actual Vapor Pressure - Daily Mean (-4)
156,0.49958932,0.012527122,0.02507484,0.47122186,0.5290051,Wind Direction Std Dev (-2)
84,0.49957672,0.013059717,0.026141563,0.4640227,0.5288592,Heat Units (0)
127,0.49946856,0.012451599,0.024929695,0.46821764,0.5349451,Reference ET (-1)
148,0.49946225,0.013843644,0.027717099,0.45598125,0.5478223,VPD - Mean (-1)
21,0.49945942,0.0137634,0.027556593,0.4678651,0.52901715,"20"" Soil Temp - Min (0)"
58,0.49945632,0.013079054,0.026186582,0.47446448,0.55119514,Air Temp - Max (-2)
137,0.49943608,0.012874153,0.025777379,0.4651889,0.5249459,Reference ET Penman-Monteith (-4)
160,0.49943596,0.014050486,0.028132707,0.4624091,0.5350762,Wind Direction Std Dev (-6)
15,0.49943063,0.012960621,0.025950793,0.46048757,0.5271782,"20"" Soil Temp - Mean (-1)"
190,0.4994255,0.01173013,0.023487246,0.46759826,0.52554667,Daily Mean PM10 Concentration (-1)
80,0.49937424,0.010735877,0.02149866,0.4715432,0.5204346,Dewpoint - Daily Mean (-3)
129,0.4993653,0.0121825775,0.024396123,0.46598098,0.52544606,Reference ET (-3)
25,0.49935248,0.011810195,0.023651019,0.47438022,0.52884686,"20"" Soil Temp - Min (-4)"
60,0.49934414,0.014000642,0.028038062,0.4650975,0.5333653,Air Temp - Max (-4)
77,0.49933296,0.012759639,0.025553368,0.47131863,0.5398801,Dewpoint - Daily Mean (0)
162,0.49931154,0.011239416,0.022509826,0.46681315,0.52728,Wind Speed - Mean (-1)
136,0.49930337,0.01183299,0.023698999,0.47045386,0.5230959,Reference ET Penman-Monteith (-3)
143,0.49929717,0.012062398,0.024158755,0.4749874,0.53410816,Solar Rad. - Total (-3)
64,0.49927056,0.012086208,0.024207732,0.4677503,0.53101504,Air Temp - Mean (-1)
3,0.49923146,0.012532455,0.025103496,0.4701945,0.5406989,MARICOPA (-3)
10,0.49922034,0.012146435,0.02433081,0.46551138,0.5302327,"20"" Soil Temp - Max (-3)"
102,0.49920714,0.012602153,0.025244337,0.4749432,0.5321201,Precipitation - Total (-4)
8,0.4991706,0.011035669,0.022108011,0.4776214,0.5269894,"20"" Soil Temp - Max (-1)"
68,0.49910453,0.012349671,0.024743656,0.4670621,0.53501886,Air Temp - Mean (-5)
67,0.49907,0.012266991,0.0245797,0.47580373,0.52540666,Air Temp - Mean (-4)
191,0.49905232,0.0121874055,0.024421098,0.4653941,0.531151,Daily Mean PM10 Concentration (-2)
180,0.49899396,0.012293435,0.02463644,0.47209996,0.5363923,Wind Vector Magnitude (-5)
20,0.49887225,0.013505322,0.027071703,0.46582168,0.53474796,"20"" Soil Temp - Mean (-6)"
116,0.4988489,0.012859986,0.025779322,0.46646458,0.52626914,RH - Mean (-4)
76,0.49882585,0.011868053,0.023791976,0.47070837,0.53724486,Air Temp - Min (-6)
150,0.49875247,0.012183645,0.02442824,0.46848825,0.5234166,VPD - Mean (-3)
134,0.49873558,0.0118332235,0.023726448,0.47159833,0.5303434,Reference ET Penman-Monteith (-1)
72,0.49873525,0.011885541,0.023831362,0.46846542,0.53059876,Air Temp - Min (-2)
4,0.49872833,0.012669357,0.025403323,0.46819475,0.5273527,MARICOPA (-4)
56,0.4986661,0.013262225,0.0265954,0.45102435,0.53176945,Air Temp - Max (0)
157,0.49864602,0.010421537,0.020899668,0.47226563,0.5209547,Wind Direction Std Dev (-3)
145,0.49860984,0.013137214,0.026347682,0.46349573,0.5228476,Solar Rad. - Total (-5)
149,0.49859482,0.011901208,0.023869498,0.4695463,0.5293875,VPD - Mean (-2)
74,0.4984824,0.011994589,0.02406221,0.46965998,0.53341806,Air Temp - Min (-4)
132,0.49846223,0.013462072,0.027007205,0.47000808,0.5265509,Reference ET (-6)
86,0.49845287,0.011922827,0.023919668,0.46682784,0.52861637,Heat Units (-2)
103,0.49842685,0.012504399,0.025087731,0.46442634,0.524739,Precipitation - Total (-5)
66,0.49837002,0.012980379,0.026045665,0.46387613,0.52793586,Air Temp - Mean (-3)
135,0.49823952,0.013911081,0.027920468,0.4744087,0.5383359,Reference ET Penman-Monteith (-2)
46,0.49816743,0.011906483,0.023900565,0.4677213,0.52508056,"4"" Soil Temp - Min (-4)"
179,0.49815023,0.01327685,0.0266523,0.46969143,0.53881574,Wind Vector Magnitude (-4)
49,0.49808976,0.012829323,0.02575705,0.46672302,0.52411145,Actual Vapor Pressure - Daily Mean (0)
19,0.49807805,0.01295757,0.02601514,0.4659961,0.52250576,"20"" Soil Temp - Mean (-5)"
45,0.49791154,0.0109101245,0.021911772,0.46481803,0.52179015,"4"" Soil Temp - Min (-3)"
146,0.49788526,0.011985834,0.024073485,0.45824623,0.522355,Solar Rad. - Total (-6)
23,0.49786147,0.015121093,0.030372089,0.45163238,0.53594595,"20"" Soil Temp - Min (-2)"
40,0.49783245,0.012437628,0.024983563,0.46844617,0.527764,"4"" Soil Temp - Mean (-5)"
147,0.49781185,0.011523331,0.023147963,0.47187826,0.5440703,VPD - Mean (0)
187,0.49778008,0.013668687,0.027459288,0.46039462,0.5328943,Daily AQI Value (-5)
13,0.4977793,0.010996488,0.02209109,0.4746419,0.52807194,"20"" Soil Temp - Max (-6)"
59,0.4975493,0.012168622,0.024457118,0.46844462,0.5312283,Air Temp - Max (-3)
186,0.49749294,0.013411014,0.026957195,0.45931762,0.5275061,Daily AQI Value (-4)
38,0.4973665,0.0137497345,0.027645076,0.46470082,0.5358146,"4"" Soil Temp - Mean (-3)"
70,0.4973177,0.011278956,0.022679579,0.46854743,0.5279866,Air Temp - Min (0)
185,0.49708518,0.012807425,0.02576505,0.45798296,0.5314177,Daily AQI Value (-3)
100,0.49689656,0.010960534,0.02205798,0.46034136,0.5225459,Precipitation - Total (-2)
