Date,MARICOPA,PIMA,PINAL
2001_8,16,5,3
2001_9,26,1,1
2001_10,12,3,2
2001_11,22,4,0
2001_12,28,0,0
2001_13,16,4,5
2001_14,25,5,2
2001_15,14,8,2
2001_16,15,6,0
2001_17,23,4,2
2001_18,12,5,2
2001_19,16,5,0
2001_20,24,9,1
2001_21,15,4,1
2001_22,28,11,2
2001_23,16,3,2
2001_24,33,9,0
2001_25,13,7,1
2001_26,13,6,2
2001_27,19,6,2
2001_28,47,13,1
2001_29,13,9,1
2001_30,34,11,0
2001_31,41,11,0
2001_32,20,8,5
2001_33,36,10,1
2001_34,22,7,3
2001_35,21,6,3
2001_36,18,4,2
2001_37,28,6,0
2001_38,41,19,1
2001_39,12,8,0
2001_40,16,6,0
2001_41,9,6,1
2001_42,42,9,3
2001_43,44,6,1
2001_44,43,16,1
2001_45,65,10,1
2001_46,140,20,2
2001_47,39,7,2
2001_48,149,12,11
2001_49,67,22,0
2001_50,79,9,1
2001_51,142,23,1
2001_52,12,0,0
2002_0,1,3,0
2002_1,48,18,3
2002_2,97,16,4
2002_3,48,7,1
2002_4,62,14,0
2002_5,32,12,4
2002_6,41,11,11
2002_7,34,0,0
2002_8,72,14,5
2002_9,37,12,2
2002_10,67,8,1
2002_11,34,6,0
2002_12,24,7,1
2002_13,64,9,3
2002_14,30,8,2
2002_15,67,5,3
2002_16,44,12,1
2002_17,34,9,2
2002_18,43,15,1
2002_19,71,6,5
2002_20,29,17,0
2002_21,23,3,0
2002_22,50,17,1
2002_23,37,7,0
2002_24,45,10,1
2002_25,18,5,0
2002_26,62,11,2
2002_27,24,5,2
2002_28,30,13,0
2002_29,44,9,3
2002_30,17,18,3
2002_31,65,21,3
2002_32,2,7,2
2002_33,37,48,1
2002_34,58,6,1
2002_35,28,10,1
2002_36,26,13,0
2002_37,42,12,3
2002_38,11,2,0
2002_39,75,9,6
2002_40,25,4,0
2002_41,24,3,0
2002_42,14,17,4
2002_43,61,9,3
2002_44,77,12,1
2002_45,54,6,8
2002_46,61,22,3
2002_47,26,3,1
2002_48,83,29,3
2002_49,80,10,5
2002_50,71,21,4
2002_51,74,4,0
2002_52,8,4,1
2003_0,46,15,0
2003_1,22,14,3
2003_2,52,8,1
2003_3,18,6,1
2003_4,81,13,7
2003_5,44,11,1
2003_6,33,4,1
2003_7,32,9,1
2003_8,29,11,0
2003_9,24,2,1
2003_10,32,9,8
2003_11,41,8,1
2003_12,26,3,0
2003_13,23,11,1
2003_14,48,4,0
2003_15,50,8,2
2003_16,11,1,0
2003_17,10,4,0
2003_18,22,8,0
2003_19,15,6,0
2003_20,32,11,0
2003_21,23,9,1
2003_22,17,2,0
2003_23,33,9,2
2003_24,18,3,0
2003_25,31,11,2
2003_26,34,6,0
2003_27,28,8,1
2003_28,40,11,1
2003_29,36,14,2
2003_30,59,12,1
2003_31,28,13,2
2003_32,63,15,6
2003_33,36,29,2
2003_34,52,15,4
2003_35,17,2,1
2003_36,47,7,3
2003_37,42,14,4
2003_38,33,5,5
2003_39,47,6,1
2003_40,23,2,2
2003_41,23,6,1
2003_42,52,5,5
2003_43,96,12,5
2003_44,23,4,2
2003_45,49,7,0
2003_46,36,10,3
2003_47,34,4,3
2003_48,63,14,3
2003_49,74,4,2
2003_50,65,11,3
2003_51,31,7,0
2003_52,64,2,4
2004_0,3,0,0
2004_1,41,2,1
2004_2,47,11,3
2004_3,71,17,3
2004_4,67,19,1
2004_5,65,6,3
2004_6,89,16,6
2004_7,56,14,1
2004_8,61,12,1
2004_9,69,7,0
2004_10,51,11,1
2004_11,39,12,1
2004_12,21,7,0
2004_13,34,11,2
2004_14,28,5,3
2004_15,60,4,3
2004_16,19,6,1
2004_17,41,4,0
2004_18,29,6,1
2004_19,43,16,6
2004_20,32,7,3
2004_21,56,6,5
2004_22,28,13,5
2004_23,61,5,4
2004_24,54,9,4
2004_25,31,23,5
2004_26,61,15,7
2004_27,44,11,2
2004_28,47,17,4
2004_29,60,23,3
2004_30,62,33,2
2004_31,57,21,4
2004_32,43,15,0
2004_33,83,8,6
2004_34,60,6,3
2004_35,48,8,3
2004_36,35,13,1
2004_37,85,21,1
2004_38,72,15,2
2004_39,59,14,4
2004_40,50,17,4
2004_41,60,18,3
2004_42,61,11,5
2004_43,42,13,3
2004_44,57,11,2
2004_45,68,23,4
2004_46,62,17,4
2004_47,37,7,2
2004_48,57,24,5
2004_49,56,14,2
2004_50,28,6,3
2004_51,61,16,5
2004_52,54,16,5
2005_1,38,6,2
2005_2,28,14,2
2005_3,28,17,5
2005_4,37,9,2
2005_5,38,17,4
2005_6,39,8,3
2005_7,26,17,2
2005_8,18,4,3
2005_9,31,15,2
2005_10,19,3,0
2005_11,18,10,3
2005_12,14,12,3
2005_13,21,6,3
2005_14,30,9,0
2005_15,24,8,0
2005_16,31,8,1
2005_17,46,14,4
2005_18,33,6,0
2005_19,53,15,2
2005_20,25,7,1
2005_21,53,6,1
2005_22,28,10,2
2005_23,34,11,0
2005_24,33,23,2
2005_25,21,13,4
2005_26,45,16,0
2005_27,29,9,2
2005_28,36,14,2
2005_29,45,18,2
2005_30,30,8,2
2005_31,65,28,2
2005_32,52,26,6
2005_33,37,20,2
2005_34,30,15,5
2005_35,48,34,6
2005_36,20,10,1
2005_37,44,20,1
2005_38,35,12,4
2005_39,47,13,3
2005_40,33,26,1
2005_41,38,3,2
2005_42,81,15,5
2005_43,77,13,2
2005_44,70,30,2
2005_45,52,11,3
2005_46,102,20,4
2005_47,99,18,5
2005_48,84,11,7
2005_49,124,22,12
2005_50,95,25,8
2005_51,174,34,13
2005_52,103,11,4
2006_1,24,3,0
2006_2,22,2,5
2006_3,19,4,1
2006_4,132,46,10
2006_5,111,11,2
2006_6,108,27,7
2006_7,71,18,4
2006_8,97,26,12
2006_9,135,15,6
2006_10,127,35,9
2006_11,75,7,3
2006_12,95,10,3
2006_13,145,25,7
2006_14,74,20,3
2006_15,89,14,7
2006_16,103,14,6
2006_17,137,28,7
2006_18,62,32,4
2006_19,51,9,2
2006_20,70,11,4
2006_21,101,24,3
2006_22,46,19,0
2006_23,108,21,4
2006_24,99,21,5
2006_25,41,30,4
2006_26,57,9,1
2006_27,86,11,5
2006_28,78,19,1
2006_29,108,34,8
2006_30,68,39,6
2006_31,92,28,2
2006_32,48,17,5
2006_33,102,23,7
2006_34,58,13,4
2006_35,71,15,1
2006_36,29,11,0
2006_37,47,11,2
2006_38,62,9,2
2006_39,37,13,6
2006_40,62,13,5
2006_41,22,5,2
2006_42,44,8,3
2006_43,63,9,1
2006_44,67,9,5
2006_45,72,7,2
2006_46,76,15,6
2006_47,53,21,3
2006_48,69,14,0
2006_49,108,15,3
2006_50,145,20,10
2006_51,84,20,8
2006_52,259,17,9
2007_0,25,10,5
2007_1,93,14,9
2007_2,77,11,5
2007_3,107,25,10
2007_4,54,9,3
2007_5,86,8,6
2007_6,42,13,8
2007_7,77,16,9
2007_8,90,17,2
2007_9,61,14,5
2007_10,73,9,8
2007_11,58,10,8
2007_12,72,14,3
2007_13,55,12,3
2007_14,84,13,12
2007_15,82,15,5
2007_16,59,14,6
2007_17,47,12,5
2007_18,65,11,3
2007_19,62,23,0
2007_20,37,20,4
2007_21,56,12,6
2007_22,49,12,8
2007_23,76,9,5
2007_24,44,23,3
2007_25,50,15,5
2007_26,84,20,4
2007_27,55,23,1
2007_28,35,8,2
2007_29,99,36,0
2007_30,55,18,5
2007_31,57,16,6
2007_32,52,15,1
2007_33,63,23,7
2007_34,78,20,2
2007_35,38,2,3
2007_36,48,19,5
2007_37,73,19,3
2007_38,49,8,2
2007_39,31,11,2
2007_40,56,18,3
2007_41,24,8,2
2007_42,105,16,6
2007_43,71,23,7
2007_44,74,26,8
2007_45,72,24,6
2007_46,68,33,6
2007_47,108,20,7
2007_48,116,42,6
2007_49,87,28,8
2007_50,100,48,5
2007_51,71,16,1
2007_52,5,3,1
2008_0,56,21,1
2008_1,96,25,6
2008_2,51,20,2
2008_3,75,20,7
2008_4,31,11,3
2008_5,38,19,4
2008_6,45,19,5
2008_7,135,14,8
2008_8,79,14,8
2008_9,48,10,3
2008_10,62,13,7
2008_11,71,8,4
2008_12,34,4,0
2008_13,71,16,7
2008_14,65,14,4
2008_15,54,8,9
2008_16,54,8,3
2008_17,58,20,6
2008_18,60,11,4
2008_19,72,10,3
2008_20,75,9,5
2008_21,74,8,7
2008_22,44,9,2
2008_23,79,26,4
2008_24,60,17,1
2008_25,33,5,3
2008_26,51,14,8
2008_27,59,11,0
2008_28,45,15,7
2008_29,61,19,6
2008_30,62,17,8
2008_31,34,8,6
2008_32,74,17,5
2008_33,48,11,4
2008_34,51,13,2
2008_35,52,16,4
2008_36,44,10,9
2008_37,64,10,3
2008_38,58,16,7
2008_39,71,36,1
2008_40,51,10,3
2008_41,43,9,2
2008_42,48,16,4
2008_43,72,15,4
2008_44,77,13,5
2008_45,60,5,3
2008_46,94,32,4
2008_47,121,16,7
2008_48,94,28,7
2008_49,120,22,5
2008_50,157,35,9
2008_51,69,12,9
2008_52,106,25,4
2009_0,14,3,2
2009_1,104,8,6
2009_2,99,10,8
2009_3,156,26,7
2009_4,51,16,3
2009_5,64,11,7
2009_6,52,15,6
2009_7,67,9,8
2009_8,63,18,1
2009_9,64,6,3
2009_10,68,14,6
2009_11,77,10,6
2009_12,59,17,7
2009_13,45,14,6
2009_14,74,8,4
2009_15,75,15,5
2009_16,79,20,4
2009_17,45,11,3
2009_18,99,12,9
2009_19,97,21,11
2009_20,82,18,4
2009_21,71,14,6
2009_22,203,29,13
2009_23,227,39,14
2009_24,294,48,14
2009_25,177,28,8
2009_26,144,29,11
2009_27,230,47,17
2009_28,229,42,12
2009_29,181,27,14
2009_30,222,38,12
2009_31,142,25,10
2009_32,235,36,14
2009_33,215,27,9
2009_34,197,32,14
2009_35,176,21,10
2009_36,161,30,9
2009_37,251,42,12
2009_38,206,35,13
2009_39,173,27,7
2009_40,235,30,12
2009_41,186,32,7
2009_42,205,32,18
2009_43,207,28,5
2009_44,223,23,10
2009_45,282,46,21
2009_46,291,48,19
2009_47,135,15,8
2009_48,380,58,18
2009_49,192,30,15
2009_50,190,32,16
2009_51,188,38,14
2009_52,105,12,12
2010_0,5,1,1
2010_1,157,24,5
2010_2,233,31,22
2010_3,102,14,5
2010_4,239,40,9
2010_5,160,23,9
2010_6,173,23,8
2010_7,178,29,17
2010_8,135,20,7
2010_9,195,25,12
2010_10,165,27,9
2010_11,129,17,9
2010_12,122,16,4
2010_13,133,17,7
2010_14,119,9,5
2010_15,160,24,7
2010_16,130,11,13
2010_17,135,23,8
2010_18,165,10,10
2010_19,204,27,13
2010_20,146,26,6
2010_21,145,28,7
2010_22,112,30,9
2010_23,163,26,4
2010_24,165,22,9
2010_25,134,33,5
2010_26,177,26,16
2010_27,102,18,7
2010_28,164,23,14
2010_29,183,30,10
2010_30,178,32,13
2010_31,184,38,10
2010_32,188,18,13
2010_33,133,22,6
2010_34,184,44,10
2010_35,189,28,11
2010_36,131,21,7
2010_37,135,23,11
2010_38,239,36,6
2010_39,192,25,19
2010_40,224,19,17
2010_41,204,42,12
2010_42,218,27,8
2010_43,195,35,16
2010_44,190,37,16
2010_45,131,26,6
2010_46,358,63,17
2010_47,150,28,9
2010_48,367,40,18
2010_49,332,45,15
2010_50,269,29,16
2010_51,261,42,22
2010_52,278,38,19
2011_0,1,0,0
2011_1,248,39,19
2011_2,207,43,11
2011_3,325,57,23
2011_4,332,36,16
2011_5,249,27,17
2011_6,239,24,17
2011_7,220,32,12
2011_8,339,29,25
2011_9,248,26,16
2011_10,257,30,12
2011_11,202,45,21
2011_12,214,33,12
2011_13,367,30,17
2011_14,273,35,12
2011_15,206,24,15
2011_16,236,36,20
2011_17,291,43,29
2011_18,270,39,19
2011_19,222,30,13
2011_20,292,38,19
2011_21,258,35,17
2011_22,211,28,11
2011_23,245,26,15
2011_24,252,36,19
2011_25,252,40,17
2011_26,229,32,15
2011_27,235,31,11
2011_28,368,52,21
2011_29,290,41,10
2011_30,210,22,23
2011_31,294,36,23
2011_32,301,27,9
2011_33,261,39,21
2011_34,224,25,15
2011_35,229,26,10
2011_36,266,25,14
2011_37,202,26,8
2011_38,179,21,8
2011_39,278,25,14
2011_40,239,23,17
2011_41,211,17,10
2011_42,199,30,15
2011_43,253,25,19
2011_44,285,41,16
2011_45,247,33,13
2011_46,355,41,16
2011_47,254,34,14
2011_48,267,20,14
2011_49,310,31,18
2011_50,274,30,17
2011_51,210,23,6
2011_52,279,28,19
2012_1,225,30,16
2012_2,273,33,17
2012_3,190,20,10
2012_4,248,24,10
2012_5,221,31,19
2012_6,114,18,10
2012_7,327,49,24
2012_8,201,41,15
2012_9,209,24,21
2012_10,249,29,22
2012_11,164,25,13
2012_12,267,54,11
2012_13,309,40,22
2012_14,378,54,26
2012_15,262,22,19
2012_16,233,35,15
2012_17,324,33,19
2012_18,212,38,20
2012_19,304,37,14
2012_20,162,22,12
2012_21,308,32,16
2012_22,183,28,17
2012_23,190,36,10
2012_24,318,43,24
2012_25,221,30,28
2012_26,240,42,15
2012_27,202,29,18
2012_28,223,38,16
2012_29,228,37,23
2012_30,177,27,24
2012_31,142,25,15
2012_32,137,30,13
2012_33,129,17,12
2012_34,122,23,5
2012_35,125,22,12
2012_36,99,23,6
2012_37,115,32,10
2012_38,112,20,8
2012_39,132,20,3
2012_40,137,30,11
2012_41,141,19,15
2012_42,132,27,8
2012_43,161,22,13
2012_44,185,29,18
2012_45,172,30,15
2012_46,161,25,8
2012_47,166,26,13
2012_48,119,32,16
2012_49,127,31,15
2012_50,137,31,13
2012_51,122,27,13
2012_52,81,13,6
2012_53,30,2,2
2013_0,57,9,5
2013_1,94,30,11
2013_2,145,32,19
2013_3,131,31,7
2013_4,111,34,5
2013_5,98,16,12
2013_6,87,27,11
2013_7,99,8,14
2013_8,42,16,4
2013_9,51,15,2
2013_10,54,7,6
2013_11,42,9,3
2013_12,40,5,4
2013_13,65,8,5
2013_14,53,17,3
2013_15,61,13,3
2013_16,69,18,4
2013_17,50,13,7
2013_18,66,17,6
2013_19,75,17,11
2013_20,55,21,6
2013_21,62,6,7
2013_22,71,13,7
2013_23,65,20,11
2013_24,57,35,7
2013_25,84,21,6
2013_26,69,15,8
2013_27,64,20,7
2013_28,51,26,4
2013_29,66,21,3
2013_30,112,13,16
2013_31,89,13,7
2013_32,67,17,5
2013_33,58,20,7
2013_34,70,20,12
2013_35,66,20,7
2013_36,79,13,8
2013_37,65,15,5
2013_38,78,24,6
2013_39,65,18,5
2013_40,66,15,4
2013_41,65,12,8
2013_42,92,17,8
2013_43,71,25,8
2013_44,105,42,8
2013_45,121,15,6
2013_46,145,28,10
2013_47,86,23,13
2013_48,145,31,15
2013_49,109,21,9
2013_50,138,36,21
2013_51,59,12,5
2013_52,29,13,8
2014_0,38,15,9
2014_1,86,47,14
2014_2,97,16,7
2014_3,93,19,8
2014_4,97,23,6
2014_5,120,22,10
2014_6,92,18,5
2014_7,120,26,12
2014_8,100,21,9
2014_9,118,22,11
2014_10,92,17,11
2014_11,100,10,16
2014_12,91,21,12
2014_13,97,21,13
2014_14,81,12,9
2014_15,71,14,8
2014_16,98,13,14
2014_17,81,24,9
2014_18,111,28,5
2014_19,117,27,17
2014_20,101,12,17
2014_21,79,18,11
2014_22,91,18,13
2014_23,90,20,10
2014_24,89,9,12
2014_25,57,30,7
2014_26,63,16,4
2014_27,55,10,7
2014_28,49,12,4
2014_29,43,12,5
2014_30,46,8,5
2014_31,43,17,14
2014_32,26,12,9
2014_33,86,17,11
